Date,Volume
2015-03-01,35
2015-03-02,23
2015-03-03,24
2015-03-04,28
2015-03-05,28
2015-03-06,30
2015-03-07,32
2015-03-08,37
2015-03-09,25
2015-03-10,27
2015-03-11,27
2015-03-12,31
2015-03-13,30
2015-03-14,32
2015-03-15,40
2015-03-16,32
2015-03-17,28
2015-03-18,34
2015-03-19,35
2015-03-20,33
2015-03-21,33
2015-03-22,38
2015-03-23,30
2015-03-24,31
2015-03-25,41
2015-03-26,31
2015-03-27,29
2015-03-28,49
2015-03-29,36
2015-03-30,32
2015-03-31,38
2015-04-01,30
2015-04-02,32
2015-04-03,34
2015-04-04,36
2015-04-05,34
2015-04-06,25
2015-04-07,22
2015-04-08,17
2015-04-09,14
2015-04-10,26
2015-04-11,30
2015-04-12,34
2015-04-13,25
2015-04-14,24
2015-04-15,23
2015-04-16,23
2015-04-17,26
2015-04-18,36
2015-04-19,38
2015-04-20,32
2015-04-21,28
2015-04-22,34
2015-04-23,40
2015-04-24,29
2015-04-25,37
2015-04-26,41
2015-04-27,34
2015-04-28,34
2015-04-29,29
2015-04-30,25
2015-05-01,53
2015-05-02,57
2015-05-03,36
2015-05-04,29
2015-05-05,21
2015-05-06,29
2015-05-07,23
2015-05-08,29
2015-05-09,39
2015-05-10,33
2015-05-11,24
2015-05-12,25
2015-05-13,25
2015-05-14,27
2015-05-15,22
2015-05-16,29
2015-05-17,33
2015-05-18,26
2015-05-19,21
2015-05-20,23
2015-05-21,27
2015-05-22,30
2015-05-23,41
2015-05-24,31
2015-05-25,24
2015-05-26,19
2015-05-27,19
2015-05-28,21
2015-05-29,24
2015-05-30,22
2015-05-31,30
2015-06-01,25
2015-06-02,30
2015-06-03,25
2015-06-04,33
2015-06-05,25
2015-06-06,30
2015-06-07,27
2015-06-08,22
2015-06-09,20
2015-06-10,22
2015-06-11,21
2015-06-12,23
2015-06-13,26
2015-06-14,28
2015-06-15,19
2015-06-16,23
2015-06-17,17
2015-06-18,21
2015-06-19,18
2015-06-20,24
2015-06-21,27
2015-06-22,25
2015-06-23,26
2015-06-24,23
2015-06-25,24
2015-06-26,23
2015-06-27,33
2015-06-28,29
2015-06-29,15
2015-06-30,19
2015-07-01,20
2015-07-02,17
2015-07-03,20
2015-07-04,29
2015-07-05,29
2015-07-06,19
2015-07-07,22
2015-07-08,17
2015-07-09,16
2015-07-10,13
2015-07-11,25
2015-07-12,28
2015-07-13,21
2015-07-14,28
2015-07-15,27
2015-07-16,32
2015-07-17,26
2015-07-18,32
2015-07-19,29
2015-07-20,20
2015-07-21,24
2015-07-22,25
2015-07-23,22
2015-07-24,30
2015-07-25,22
2015-07-26,38
2015-07-27,32
2015-07-28,26
2015-07-29,25
2015-07-30,24
2015-07-31,33
2015-08-01,34
2015-08-02,42
2015-08-03,33
2015-08-04,39
2015-08-05,39
