Date,Volume
2015-03-01,54
2015-03-02,38
2015-03-03,45
2015-03-04,42
2015-03-05,45
2015-03-06,50
2015-03-07,65
2015-03-08,56
2015-03-09,42
2015-03-10,42
2015-03-11,44
2015-03-12,44
2015-03-13,46
2015-03-14,59
2015-03-15,56
2015-03-16,41
2015-03-17,41
2015-03-18,42
2015-03-19,42
2015-03-20,45
2015-03-21,56
2015-03-22,53
2015-03-23,39
2015-03-24,33
2015-03-25,41
2015-03-26,37
2015-03-27,42
2015-03-28,55
2015-03-29,57
2015-03-30,49
2015-03-31,41
2015-04-01,43
2015-04-02,46
2015-04-03,48
2015-04-04,54
2015-04-05,54
2015-04-06,45
2015-04-07,50
2015-04-08,39
2015-04-09,46
2015-04-10,51
2015-04-11,60
2015-04-12,51
2015-04-13,38
2015-04-14,35
2015-04-15,36
2015-04-16,37
2015-04-17,38
2015-04-18,47
2015-04-19,49
2015-04-20,37
2015-04-21,38
2015-04-22,37
2015-04-23,39
2015-04-24,37
2015-04-25,51
2015-04-26,59
2015-04-27,53
2015-04-28,61
2015-04-29,60
2015-04-30,66
2015-05-01,60
2015-05-02,70
2015-05-03,59
2015-05-04,46
2015-05-05,38
2015-05-06,36
2015-05-07,37
2015-05-08,39
2015-05-09,51
2015-05-10,53
2015-05-11,34
2015-05-12,38
2015-05-13,38
2015-05-14,45
2015-05-15,41
2015-05-16,48
2015-05-17,51
2015-05-18,36
2015-05-19,35
2015-05-20,37
2015-05-21,40
2015-05-22,41
2015-05-23,48
2015-05-24,57
2015-05-25,54
2015-05-26,45
2015-05-27,45
2015-05-28,45
2015-05-29,53
2015-05-30,59
2015-05-31,52
2015-06-01,46
2015-06-02,47
2015-06-03,50
2015-06-04,50
2015-06-05,50
2015-06-06,64
2015-06-07,52
2015-06-08,38
2015-06-09,30
2015-06-10,30
2015-06-11,32
2015-06-12,33
2015-06-13,42
2015-06-14,52
2015-06-15,39
2015-06-16,41
2015-06-17,40
2015-06-18,42
2015-06-19,46
2015-06-20,52
2015-06-21,51
2015-06-22,38
2015-06-23,40
2015-06-24,40
2015-06-25,40
2015-06-26,38
2015-06-27,47
2015-06-28,54
2015-06-29,45
2015-06-30,41
2015-07-01,47
2015-07-02,44
2015-07-03,48
2015-07-04,85
2015-07-05,52
2015-07-06,38
2015-07-07,40
2015-07-08,39
2015-07-09,40
2015-07-10,38
2015-07-11,43
2015-07-12,51
2015-07-13,37
2015-07-14,41
2015-07-15,36
2015-07-16,35
2015-07-17,49
2015-07-18,48
2015-07-19,49
2015-07-20,35
2015-07-21,36
2015-07-22,35
2015-07-23,39
2015-07-24,39
2015-07-25,42
2015-07-26,61
2015-07-27,52
2015-07-28,50
2015-07-29,54
2015-07-30,47
2015-07-31,63
2015-08-01,72
2015-08-02,100
2015-08-03,125
2015-08-04,185
2015-08-05,129
2015-08-06,125
2015-08-07,122
2015-08-08,138
2015-08-09,99
2015-08-10,83
2015-08-11,80
2015-08-12,79
2015-08-13,113
2015-08-14,74
2015-08-15,73
2015-08-16,68
2015-08-17,48
2015-08-18,52
2015-08-19,58
2015-08-20,53
2015-08-21,58
2015-08-22,59
2015-08-23,57
2015-08-24,40
2015-08-25,39
2015-08-26,39
2015-08-27,39
2015-08-28,33
2015-08-30,51
2015-08-31,37
2015-09-01,40
2015-09-02,41
2015-09-03,42
2015-09-04,43
2015-09-05,53
2015-09-06,44
2015-09-07,33
2015-09-08,32
2015-09-09,26
2015-09-10,28
2015-09-11,33
2015-09-12,41
2015-09-13,46
2015-09-14,28
2015-09-15,27
2015-09-16,29
2015-09-17,32
2015-09-18,35
2015-09-19,37
2015-09-20,45
2015-09-21,36
2015-09-22,35
2015-09-23,31
2015-09-24,34
2015-09-25,36
2015-09-26,37
2015-09-27,43
2015-09-28,29
2015-09-29,30
2015-09-30,28
2015-10-01,25
2015-10-02,34
2015-10-03,38
2015-10-04,44
2015-10-05,41
2015-10-06,32
2015-10-07,38
2015-10-08,38
2015-10-09,38
2015-10-10,49
2015-10-11,39
2015-10-12,26
2015-10-13,28
2015-10-14,27
2015-10-15,25
2015-10-16,25
2015-10-17,39
2015-10-18,39
2015-10-19,35
2015-10-20,32
2015-10-21,33
2015-10-22,29
2015-10-23,38
2015-10-24,47
2015-10-25,37
2015-10-26,28
2015-10-27,25
2015-10-28,21
2015-10-29,28
2015-10-30,35
2015-10-31,33
2015-11-01,39
2015-11-02,23
2015-11-03,25
2015-11-04,24
2015-11-05,25
2015-11-06,30
2015-11-07,36
2015-11-08,39
2015-11-09,26
2015-11-10,32
2015-11-11,33
2015-11-12,32
2015-11-13,39
2015-11-14,45
2015-11-15,38
2015-11-16,21
2015-11-17,28
2015-11-18,26
2015-11-19,31
2015-11-20,23
2015-11-21,35
2015-11-22,36
2015-11-23,25
2015-11-24,21
2015-11-25,27
2015-11-26,21
2015-11-27,23
2015-11-28,34
2015-11-29,34
2015-11-30,25
2015-12-01,26
2015-12-02,29
2015-12-03,29
2015-12-04,26
2015-12-05,36
2015-12-06,37
2015-12-07,31
2015-12-08,30
2015-12-09,30
2015-12-10,37
2015-12-11,34
2015-12-12,40
2015-12-13,39
2015-12-14,26
2015-12-15,29
2015-12-16,29
2015-12-17,26
2015-12-18,31
2015-12-19,44
2015-12-20,40
2015-12-21,29
2015-12-22,34
2015-12-23,28
2015-12-24,46
2015-12-25,40
2015-12-26,36
2015-12-27,46
2015-12-28,43
2015-12-29,46
2015-12-30,42
2015-12-31,51
2016-01-01,55
2016-01-02,48
2016-01-03,39
2016-01-04,35
2016-01-05,28
2016-01-06,29
2016-01-07,30
2016-01-08,32
2016-01-09,31
2016-01-10,37
2016-01-11,21
2016-01-12,25
2016-01-13,28
2016-01-14,24
2016-01-15,24
2016-01-16,30
2016-01-17,37
2016-01-18,33
2016-01-19,26
2016-01-20,35
2016-01-21,32
2016-01-22,38
2016-01-23,49
2016-01-24,35
2016-01-25,29
2016-01-26,28
2016-01-27,30
2016-01-28,25
2016-01-29,29
2016-01-30,30
2016-01-31,37
2016-02-01,30
2016-02-02,32
2016-02-03,26
2016-02-04,29
2016-02-05,32
2016-02-06,35
2016-02-07,35
2016-02-08,30
2016-02-09,30
2016-02-10,26
2016-02-11,30
2016-02-12,27
2016-02-13,37
2016-02-14,32
2016-02-15,23
2016-02-16,24
2016-02-17,23
2016-02-18,26
2016-02-19,25
2016-02-20,32
2016-02-21,34
2016-02-22,28
2016-02-23,29
2016-02-24,28
2016-02-25,35
2016-02-27,51
2016-02-28,33
2016-02-29,21
2016-03-01,23
2016-03-02,26
2016-03-03,24
2016-03-04,27
2016-03-05,32
2016-03-06,34
2016-03-07,25
2016-03-08,27
2016-03-09,26
2016-03-10,25
2016-03-11,27
2016-03-12,51
2016-03-13,43
2016-03-14,30
2016-03-15,35
2016-03-16,33
2016-03-17,29
2016-03-18,31
2016-03-19,31
2016-03-20,33
2016-03-21,21
2016-03-22,25
2016-03-23,20
2016-03-24,25
2016-03-25,27
2016-03-26,26
2016-03-27,33
2016-03-28,25
2016-03-29,22
2016-03-30,26
2016-03-31,24
2016-04-01,24
2016-04-02,32
2016-04-03,30
2016-04-04,20
2016-04-05,21
2016-04-06,19
2016-04-07,22
2016-04-08,23
2016-04-09,25
2016-04-10,29
2016-04-11,22
2016-04-12,20
2016-04-13,20
2016-04-14,20
2016-04-15,23
2016-04-16,24
2016-04-17,31
2016-04-18,24
2016-04-19,27
2016-04-20,23
2016-04-21,23
2016-04-22,25
2016-04-23,31
2016-04-24,30
2016-04-25,20
2016-04-26,24
2016-04-27,24
2016-04-28,24
2016-04-29,25
2016-04-30,27
2016-05-01,31
2016-05-02,22
2016-05-03,25
2016-05-04,25
2016-05-05,24
2016-05-06,25
2016-05-07,25
2016-05-08,28
2016-05-09,28
2016-05-10,25
2016-05-11,28
2016-05-12,25
2016-05-13,31
2016-05-14,36
2016-05-15,30
2016-05-16,27
2016-05-17,25
2016-05-18,25
2016-05-19,23
2016-05-20,25
2016-05-21,32
2016-05-22,31
2016-05-23,25
2016-05-24,31
2016-05-25,26
2016-05-26,31
2016-05-27,29
2016-05-28,34
2016-05-29,34
2016-05-30,27
2016-05-31,26
2016-06-01,24
2016-06-02,23
2016-06-03,31
2016-06-04,37
2016-06-05,34
2016-06-06,24
2016-06-07,26
2016-06-08,25
2016-06-09,22
2016-06-10,23
2016-06-11,29
2016-06-12,32
2016-06-13,29
2016-06-14,26
2016-06-15,28
2016-06-16,26
2016-06-17,26
2016-06-18,29
2016-06-19,34
2016-06-20,23
2016-06-21,27
2016-06-22,25
2016-06-23,31
2016-06-24,29
2016-06-25,29
2016-06-26,33
2016-06-27,24
2016-06-28,30
2016-06-29,26
2016-06-30,28
2016-07-01,27
2016-07-02,39
2016-07-03,33
2016-07-04,28
2016-07-05,29
2016-07-06,30
2016-07-07,26
2016-07-08,21
2016-07-09,31
2016-07-10,31
2016-07-11,22
2016-07-12,26
2016-07-13,28
2016-07-14,25
2016-07-15,27
2016-07-16,34
2016-07-17,29
2016-07-18,22
2016-07-19,23
2016-07-20,23
2016-07-21,22
2016-07-22,25
2016-07-23,30
2016-07-24,30
2016-07-25,23
2016-07-26,26
2016-07-27,19
2016-07-28,27
2016-07-29,27
2016-07-30,30
2016-07-31,28
2016-08-01,24
2016-08-02,26
2016-08-03,24
2016-08-04,23
2016-08-05,24
2016-08-06,30
2016-08-07,26
2016-08-08,19
2016-08-09,23
2016-08-10,24
2016-08-11,21
2016-08-12,23
2016-08-13,32
2016-08-14,27
2016-08-15,23
2016-08-16,22
2016-08-17,21
2016-08-18,18
2016-08-19,22
2016-08-20,25
2016-08-21,24
2016-08-22,22
2016-08-23,17
2016-08-24,20
2016-08-26,7
2016-08-27,11
2016-08-28,28
2016-08-29,19
2016-08-30,20
2016-08-31,21
2016-09-01,26
2016-09-02,31
2016-09-03,30
2016-09-04,24
2016-09-05,19
2016-09-06,14
2016-09-07,16
2016-09-08,18
2016-09-09,17
2016-09-10,22
2016-09-11,24
2016-09-12,16
2016-09-13,13
2016-09-14,15
2016-09-15,15
2016-09-16,17
2016-09-17,21
2016-09-18,23
2016-09-19,16
2016-09-20,14
2016-09-21,14
2016-09-22,11
2016-09-23,14
2016-09-24,20
2016-09-25,23
2016-09-26,14
2016-09-27,17
2016-09-28,13
2016-09-29,18
2016-09-30,25
2016-10-01,23
2016-10-02,23
2016-10-03,14
2016-10-04,14
2016-10-05,16
2016-10-06,16
2016-10-07,15
2016-10-08,17
2016-10-09,24
2016-10-10,22
2016-10-11,24
2016-10-12,27
2016-10-13,22
2016-10-14,28
2016-10-15,34
2016-10-16,23
2016-10-17,23
2016-10-18,19
2016-10-19,15
2016-10-20,19
2016-10-21,19
2016-10-22,24
2016-10-23,23
2016-10-24,16
2016-10-25,14
2016-10-26,16
2016-10-27,16
2016-10-28,18
2016-10-29,19
2016-10-30,27
2016-10-31,22
2016-11-01,28
2016-11-02,22
2016-11-03,24
2016-11-04,30
2016-11-05,48
2016-11-06,50
2016-11-07,36
2016-11-08,57
2016-11-09,88
2016-11-10,82
2016-11-11,73
2016-11-12,86
2016-11-13,40
2016-11-14,30
2016-11-15,30
2016-11-16,28
2016-11-17,22
2016-11-18,24
2016-11-19,29
2016-11-20,29
2016-11-21,22
2016-11-22,22
2016-11-23,21
2016-11-24,18
2016-11-25,20
2016-11-26,24
2016-11-27,25
2016-11-28,17
2016-11-29,20
2016-11-30,16
2016-12-01,19
2016-12-02,16
2016-12-03,21
2016-12-04,21
2016-12-05,17
2016-12-06,18
2016-12-07,17
2016-12-08,17
2016-12-09,21
2016-12-10,23
2016-12-11,22
2016-12-12,16
2016-12-13,13
2016-12-14,17
2016-12-15,16
2016-12-16,14
2016-12-17,19
2016-12-18,23
2016-12-19,16
2016-12-20,18
2016-12-21,19
2016-12-22,18
2016-12-23,20
2016-12-24,21
2016-12-25,24
2016-12-26,24
2016-12-27,19
2016-12-28,22
2016-12-29,24
2016-12-30,24
2016-12-31,31
2017-01-01,22
2017-01-02,18
2017-01-03,16
2017-01-04,16
2017-01-05,16
2017-01-06,17
2017-01-07,20
2017-01-08,19
2017-01-09,15
2017-01-10,15
2017-01-11,15
2017-01-12,17
2017-01-13,16
2017-01-14,22
2017-01-15,23
2017-01-16,18
2017-01-17,25
2017-01-18,27
2017-01-19,18
2017-01-20,16
2017-01-21,20
2017-01-22,19
2017-01-23,14
2017-01-24,16
2017-01-25,19
2017-01-26,17
2017-01-27,20
2017-01-28,21
2017-01-29,22
2017-01-30,22
2017-01-31,20
2017-02-01,23
2017-02-02,32
2017-02-03,32
2017-02-04,32
2017-02-05,50
2017-02-06,38
2017-02-07,38
2017-02-08,47
2017-02-09,294
2017-02-10,144
2017-02-11,111
2017-02-12,30
2017-02-13,19
2017-02-14,16
2017-02-15,15
2017-02-16,17
2017-02-17,14
2017-02-18,18
2017-02-19,21
2017-02-20,15
2017-02-21,12
2017-02-23,29
2017-02-24,37
2017-02-25,47
2017-02-26,21
2017-02-27,15
2017-02-28,18
2017-03-01,15
2017-03-02,16
2017-03-03,18
2017-03-04,18
2017-03-05,19
2017-03-06,17
2017-03-07,15
2017-03-08,17
2017-03-09,14
2017-03-10,11
2017-03-11,17
2017-03-12,26
2017-03-13,24
2017-03-14,27
2017-03-15,26
2017-03-16,44
2017-03-17,29
2017-03-18,31
2017-03-19,33
2017-03-20,27
2017-03-21,29
2017-03-22,24
2017-03-23,62
2017-03-24,39
2017-03-25,34
2017-03-26,21
2017-03-27,16
2017-03-28,14
2017-03-29,15
2017-03-30,12
2017-03-31,13
