Date,Volume
2015-03-01,52
2015-03-02,46
2015-03-03,63
2015-03-04,65
2015-03-05,59
2015-03-06,57
2015-03-07,72
2015-03-08,75
2015-03-09,77
2015-03-10,93
2015-03-11,96
2015-03-12,79
2015-03-13,89
2015-03-14,94
2015-03-15,67
2015-03-16,46
2015-03-17,56
2015-03-18,59
2015-03-19,58
2015-03-20,53
2015-03-21,62
2015-03-22,54
2015-03-23,46
2015-03-24,41
2015-03-25,46
2015-03-26,41
2015-03-27,39
2015-03-28,44
2015-03-29,46
2015-03-30,32
2015-03-31,27
2015-04-01,31
2015-04-02,38
2015-04-03,42
2015-04-04,46
2015-04-05,54
2015-04-06,54
2015-04-07,49
2015-04-08,47
2015-04-09,40
2015-04-10,40
2015-04-11,47
2015-04-12,100
2015-04-13,178
2015-04-14,144
2015-04-15,125
2015-04-16,117
2015-04-17,141
2015-04-18,162
2015-04-19,81
2015-04-20,59
2015-04-21,55
2015-04-22,55
2015-04-23,47
2015-04-24,53
2015-04-25,58
2015-04-26,75
2015-04-27,55
2015-04-28,45
2015-04-29,55
2015-04-30,55
2015-05-01,66
2015-05-02,72
2015-05-03,94
2015-05-04,113
2015-05-05,81
2015-05-06,71
2015-05-07,75
2015-05-08,75
2015-05-09,90
2015-05-10,68
2015-05-11,47
2015-05-12,39
2015-05-13,36
2015-05-14,38
2015-05-15,39
2015-05-16,51
2015-05-17,57
2015-05-18,44
2015-05-19,42
2015-05-20,41
2015-05-21,37
2015-05-22,47
2015-05-23,61
2015-05-24,60
2015-05-25,41
2015-05-26,39
2015-05-27,37
2015-05-28,39
2015-05-29,41
2015-05-30,53
2015-05-31,55
2015-06-01,46
2015-06-02,43
2015-06-03,38
2015-06-04,44
2015-06-05,48
2015-06-06,55
2015-06-07,58
2015-06-08,49
2015-06-09,41
2015-06-10,42
2015-06-11,41
2015-06-12,43
2015-06-13,49
2015-06-14,50
2015-06-15,32
2015-06-16,31
2015-06-17,32
2015-06-18,36
2015-06-19,48
2015-06-20,44
2015-06-21,51
2015-06-22,37
2015-06-23,37
2015-06-24,45
2015-06-25,43
2015-06-26,42
2015-06-27,51
2015-06-28,50
2015-06-29,39
2015-06-30,38
2015-07-01,40
2015-07-02,42
2015-07-03,48
2015-07-04,52
2015-07-05,52
2015-07-06,43
2015-07-07,36
2015-07-08,45
2015-07-09,57
2015-07-10,60
2015-07-11,62
2015-07-12,54
2015-07-13,41
2015-07-14,41
2015-07-15,42
2015-07-16,49
2015-07-17,58
2015-07-18,72
2015-07-19,60
2015-07-20,37
2015-07-21,37
2015-07-22,38
2015-07-23,40
2015-07-24,45
2015-07-25,47
2015-07-26,55
2015-07-27,44
2015-07-28,43
2015-07-29,44
