Date,Volume
2015-03-01,91
2015-03-02,72
2015-03-03,69
2015-03-04,86
2015-03-05,121
2015-03-06,130
2015-03-07,107
2015-03-08,100
2015-03-09,80
2015-03-10,77
2015-03-11,93
2015-03-12,139
2015-03-13,163
2015-03-14,147
2015-03-15,75
2015-03-16,53
2015-03-17,47
2015-03-18,41
2015-03-19,42
2015-03-20,45
2015-03-21,48
2015-03-22,54
2015-03-23,38
2015-03-24,35
2015-03-25,36
2015-03-26,32
2015-03-27,35
2015-03-28,42
2015-03-29,47
2015-03-30,41
2015-03-31,38
2015-04-01,40
2015-04-02,42
2015-04-03,47
2015-04-04,45
2015-04-05,42
2015-04-06,33
2015-04-07,30
2015-04-08,26
2015-04-09,25
2015-04-10,31
2015-04-11,35
2015-04-12,36
2015-04-13,29
2015-04-14,25
2015-04-15,24
2015-04-16,26
2015-04-17,27
2015-04-18,32
2015-04-19,32
2015-04-20,26
2015-04-21,23
2015-04-22,23
2015-04-23,26
2015-04-24,27
2015-04-25,29
2015-04-26,34
2015-04-27,26
2015-04-28,25
2015-04-29,27
2015-04-30,31
2015-05-01,31
2015-05-02,32
2015-05-03,30
2015-05-04,22
2015-05-05,22
2015-05-06,21
2015-05-07,21
2015-05-08,20
2015-05-09,27
2015-05-10,29
2015-05-11,21
2015-05-12,22
2015-05-13,25
2015-05-14,22
2015-05-15,26
2015-05-16,34
2015-05-17,27
2015-05-18,19
2015-05-19,19
2015-05-20,18
2015-05-21,16
2015-05-22,19
2015-05-23,27
2015-05-24,25
2015-05-25,21
2015-05-26,19
2015-05-27,20
2015-05-28,21
2015-05-29,19
2015-05-30,21
2015-05-31,26
2015-06-01,23
2015-06-02,21
2015-06-03,20
2015-06-04,23
2015-06-05,24
2015-06-06,28
2015-06-07,24
2015-06-08,18
2015-06-09,17
2015-06-10,19
2015-06-11,18
2015-06-12,20
2015-06-13,21
2015-06-14,24
2015-06-15,18
2015-06-16,20
2015-06-17,20
2015-06-18,21
2015-06-19,25
2015-06-20,25
2015-06-21,25
2015-06-22,19
2015-06-23,18
2015-06-24,17
2015-06-25,19
2015-06-26,19
2015-06-27,21
2015-06-28,25
2015-06-29,21
2015-06-30,19
2015-07-01,21
2015-07-02,22
2015-07-03,22
2015-07-04,28
2015-07-05,24
2015-07-06,20
2015-07-07,20
2015-07-08,21
2015-07-09,21
2015-07-10,24
2015-07-11,25
2015-07-12,22
2015-07-13,14
2015-07-14,14
2015-07-15,15
2015-07-16,14
2015-07-17,13
2015-07-18,18
2015-07-19,24
2015-07-20,21
2015-07-21,21
2015-07-22,20
2015-07-23,21
2015-07-24,18
2015-07-25,25
2015-07-26,24
2015-07-27,20
2015-07-28,20
2015-07-29,22
2015-07-30,22
2015-07-31,22
2015-08-01,21
2015-08-02,21
2015-08-03,14
2015-08-04,16
2015-08-05,16
2015-08-06,16
2015-08-07,17
2015-08-08,19
2015-08-09,21
2015-08-10,16
2015-08-11,15
2015-08-12,17
2015-08-13,16
2015-08-14,15
2015-08-15,18
2015-08-16,19
2015-08-17,14
2015-08-18,14
2015-08-19,14
2015-08-20,15
2015-08-21,15
2015-08-22,16
2015-08-23,21
2015-08-24,17
2015-08-25,17
2015-08-26,17
2015-08-27,19
2015-08-28,21
2015-08-30,21
2015-08-31,18
2015-09-01,19
2015-09-02,18
2015-09-03,18
2015-09-04,18
2015-09-05,25
2015-09-06,21
2015-09-07,16
2015-09-08,16
2015-09-09,15
2015-09-10,16
2015-09-11,18
2015-09-12,21
2015-09-13,22
2015-09-14,15
2015-09-15,16
2015-09-16,15
2015-09-17,17
2015-09-18,18
2015-09-19,22
2015-09-20,23
2015-09-21,16
2015-09-22,18
2015-09-23,15
2015-09-24,15
2015-09-25,19
2015-09-26,22
2015-09-27,22
2015-09-28,17
2015-09-29,15
2015-09-30,15
2015-10-01,16
2015-10-02,19
2015-10-03,24
2015-10-04,25
2015-10-05,19
2015-10-06,18
2015-10-07,20
2015-10-08,22
2015-10-09,25
2015-10-10,34
2015-10-11,26
2015-10-12,22
2015-10-13,17
2015-10-14,18
2015-10-15,18
2015-10-16,19
2015-10-17,22
2015-10-18,25
2015-10-19,20
2015-10-20,19
2015-10-21,19
2015-10-22,20
2015-10-23,21
2015-10-24,27
2015-10-25,25
2015-10-26,20
2015-10-27,16
2015-10-28,20
2015-10-29,21
2015-10-30,19
2015-10-31,24
2015-11-01,24
2015-11-02,22
2015-11-03,17
2015-11-04,19
2015-11-05,18
2015-11-06,18
2015-11-07,21
2015-11-08,24
2015-11-09,20
2015-11-10,20
2015-11-11,20
2015-11-12,19
2015-11-13,23
2015-11-14,26
2015-11-15,25
2015-11-16,20
2015-11-17,20
2015-11-18,17
2015-11-19,17
2015-11-20,20
2015-11-21,23
2015-11-22,22
2015-11-23,17
2015-11-24,15
2015-11-25,15
2015-11-26,17
2015-11-27,17
2015-11-28,22
2015-11-29,19
2015-11-30,15
2015-12-01,14
2015-12-02,11
2015-12-03,12
2015-12-04,13
2015-12-05,17
2015-12-06,21
2015-12-07,17
2015-12-08,19
2015-12-09,16
2015-12-10,18
2015-12-11,17
2015-12-12,21
2015-12-13,21
2015-12-14,18
2015-12-15,18
2015-12-16,18
2015-12-17,17
2015-12-18,19
2015-12-19,23
2015-12-20,23
2015-12-21,23
2015-12-22,18
2015-12-23,20
2015-12-24,19
2015-12-25,24
2015-12-26,26
2015-12-27,32
2015-12-28,25
2015-12-29,27
2015-12-30,32
2015-12-31,45
2016-01-01,48
2016-01-02,39
2016-01-03,27
2016-01-04,20
2016-01-05,17
2016-01-06,15
2016-01-07,16
2016-01-08,18
2016-01-09,21
2016-01-10,22
2016-01-11,18
2016-01-12,14
2016-01-13,16
2016-01-14,18
2016-01-15,18
2016-01-16,21
2016-01-17,22
2016-01-18,19
2016-01-19,16
2016-01-20,17
2016-01-21,19
2016-01-22,19
2016-01-23,24
2016-01-24,21
2016-01-25,17
2016-01-26,17
2016-01-27,15
2016-01-28,17
2016-01-29,17
2016-01-30,19
2016-01-31,19
2016-02-01,16
2016-02-02,16
2016-02-03,13
2016-02-04,13
2016-02-05,13
2016-02-06,16
2016-02-07,19
2016-02-08,17
2016-02-09,16
2016-02-10,18
2016-02-11,16
2016-02-12,20
2016-02-13,21
2016-02-14,16
2016-02-15,12
2016-02-16,10
2016-02-17,12
2016-02-18,12
2016-02-19,12
2016-02-20,15
2016-02-21,16
2016-02-22,12
2016-02-23,12
2016-02-24,13
2016-02-25,10
2016-02-27,30
2016-02-28,15
2016-02-29,10
2016-03-01,9
2016-03-02,9
2016-03-03,10
2016-03-04,11
2016-03-05,14
2016-03-06,15
2016-03-07,12
2016-03-08,12
2016-03-09,12
2016-03-10,12
2016-03-11,13
2016-03-12,14
2016-03-13,16
2016-03-14,15
2016-03-15,11
2016-03-16,14
2016-03-17,12
2016-03-18,14
2016-03-19,15
2016-03-20,15
2016-03-21,12
2016-03-22,10
2016-03-23,10
2016-03-24,10
2016-03-25,12
2016-03-26,15
2016-03-27,14
2016-03-28,12
2016-03-29,10
2016-03-30,9
2016-03-31,11
2016-04-01,10
2016-04-02,11
2016-04-03,14
2016-04-04,11
2016-04-05,11
2016-04-06,11
2016-04-07,14
2016-04-08,14
2016-04-09,14
2016-04-10,14
2016-04-11,11
2016-04-12,9
2016-04-13,11
2016-04-14,11
2016-04-15,12
2016-04-16,16
2016-04-17,16
2016-04-18,13
2016-04-19,16
2016-04-20,14
2016-04-21,15
2016-04-22,16
2016-04-23,20
2016-04-24,16
2016-04-25,13
2016-04-26,12
2016-04-27,11
2016-04-28,12
2016-04-29,10
2016-04-30,16
2016-05-01,18
2016-05-02,13
2016-05-03,11
2016-05-04,12
2016-05-05,15
2016-05-06,15
2016-05-07,16
2016-05-08,19
2016-05-09,13
2016-05-10,15
2016-05-11,16
2016-05-12,14
2016-05-13,15
2016-05-14,16
2016-05-15,19
2016-05-16,16
2016-05-17,13
2016-05-18,17
2016-05-19,13
2016-05-20,17
2016-05-21,18
2016-05-22,18
2016-05-23,13
2016-05-24,14
2016-05-25,14
2016-05-26,16
2016-05-27,15
2016-05-28,17
2016-05-29,18
2016-05-30,13
2016-05-31,16
2016-06-01,13
2016-06-02,13
2016-06-03,16
2016-06-04,18
2016-06-05,18
2016-06-06,17
2016-06-07,15
2016-06-08,17
2016-06-09,18
2016-06-10,18
2016-06-11,20
2016-06-12,17
2016-06-13,15
2016-06-14,13
2016-06-15,17
2016-06-16,12
2016-06-17,14
2016-06-18,17
2016-06-19,17
2016-06-20,13
2016-06-21,15
2016-06-22,13
2016-06-23,13
2016-06-24,13
2016-06-25,17
2016-06-26,17
2016-06-27,12
2016-06-28,13
2016-06-29,13
2016-06-30,14
2016-07-01,13
2016-07-02,17
2016-07-03,15
2016-07-04,11
2016-07-05,10
2016-07-06,9
2016-07-07,10
2016-07-08,13
2016-07-09,12
2016-07-10,15
2016-07-11,11
2016-07-12,13
2016-07-13,13
2016-07-14,12
2016-07-15,12
2016-07-16,15
2016-07-17,15
2016-07-18,13
2016-07-19,12
2016-07-20,15
2016-07-21,16
2016-07-22,14
2016-07-23,14
2016-07-24,15
2016-07-25,12
2016-07-26,12
2016-07-27,10
2016-07-28,11
2016-07-29,13
2016-07-30,14
2016-07-31,13
2016-08-01,9
2016-08-02,10
2016-08-03,11
2016-08-04,10
2016-08-05,11
2016-08-06,10
2016-08-07,13
2016-08-08,10
2016-08-09,9
2016-08-10,11
2016-08-11,9
2016-08-12,11
2016-08-13,12
2016-08-14,12
2016-08-15,10
2016-08-16,9
2016-08-17,11
2016-08-18,10
2016-08-19,10
2016-08-20,11
2016-08-21,13
2016-08-22,9
2016-08-23,10
2016-08-24,10
2016-08-26,8
2016-08-27,10
2016-08-28,12
2016-08-29,9
2016-08-30,10
2016-08-31,9
2016-09-01,8
2016-09-02,11
2016-09-03,9
2016-09-04,11
2016-09-05,12
2016-09-06,9
2016-09-07,10
2016-09-08,9
2016-09-09,10
2016-09-10,10
2016-09-11,11
2016-09-12,8
2016-09-13,8
2016-09-14,7
2016-09-15,7
2016-09-16,10
2016-09-17,8
2016-09-18,10
2016-09-19,7
2016-09-20,6
2016-09-21,8
2016-09-22,7
2016-09-23,9
2016-09-24,10
2016-09-25,12
2016-09-26,9
2016-09-27,9
2016-09-28,7
2016-09-29,10
2016-09-30,10
2016-10-01,18
2016-10-02,22
2016-10-03,21
2016-10-04,19
2016-10-05,17
2016-10-06,22
2016-10-07,22
2016-10-08,27
2016-10-09,23
2016-10-10,20
2016-10-11,21
2016-10-12,22
2016-10-13,23
2016-10-14,20
2016-10-15,27
2016-10-16,20
2016-10-17,13
2016-10-18,12
2016-10-19,12
2016-10-20,11
2016-10-21,11
2016-10-22,14
2016-10-23,15
2016-10-24,9
2016-10-25,9
2016-10-26,8
2016-10-27,7
2016-10-28,6
2016-10-29,8
2016-10-30,12
2016-10-31,9
2016-11-01,6
2016-11-02,6
2016-11-03,6
2016-11-04,8
2016-11-05,9
2016-11-06,12
2016-11-07,12
2016-11-08,13
2016-11-09,9
2016-11-10,12
2016-11-11,11
2016-11-12,14
2016-11-13,11
2016-11-14,7
2016-11-15,7
2016-11-16,7
2016-11-17,6
2016-11-18,6
2016-11-19,7
2016-11-20,11
2016-11-21,8
2016-11-22,9
2016-11-23,9
2016-11-24,8
2016-11-25,9
2016-11-26,11
2016-11-27,10
2016-11-28,7
2016-11-29,7
2016-11-30,9
2016-12-01,7
2016-12-02,8
2016-12-03,9
2016-12-04,10
