Date,Volume
2015-03-01,22
2015-03-02,17
2015-03-03,18
2015-03-04,18
2015-03-05,17
2015-03-06,18
2015-03-07,22
2015-03-08,21
2015-03-09,17
2015-03-10,15
2015-03-11,13
2015-03-12,15
2015-03-13,14
2015-03-14,18
2015-03-15,21
2015-03-16,17
2015-03-17,19
2015-03-18,17
2015-03-19,17
2015-03-20,19
2015-03-21,19
2015-03-22,21
2015-03-23,17
2015-03-24,15
2015-03-25,15
2015-03-26,16
2015-03-27,16
2015-03-28,19
2015-03-29,21
2015-03-30,18
2015-03-31,16
2015-04-01,18
2015-04-02,17
2015-04-03,20
2015-04-04,20
2015-04-05,20
2015-04-06,19
2015-04-07,16
2015-04-08,17
2015-04-09,19
2015-04-10,19
2015-04-11,23
2015-04-12,19
2015-04-13,15
2015-04-14,16
2015-04-15,14
2015-04-16,15
2015-04-17,16
2015-04-18,17
2015-04-19,18
2015-04-20,18
2015-04-21,17
2015-04-22,17
2015-04-23,16
2015-04-24,19
2015-04-25,18
2015-04-26,19
2015-04-27,17
2015-04-28,16
2015-04-29,16
2015-04-30,16
2015-05-01,18
2015-05-02,20
2015-05-03,18
2015-05-04,15
2015-05-05,15
2015-05-06,13
2015-05-07,13
2015-05-08,16
2015-05-09,16
2015-05-10,17
2015-05-11,13
2015-05-12,13
2015-05-13,16
2015-05-14,13
2015-05-15,15
2015-05-16,17
2015-05-17,17
2015-05-18,13
2015-05-19,12
2015-05-20,12
2015-05-21,13
2015-05-22,16
2015-05-23,18
2015-05-24,17
2015-05-25,16
2015-05-26,15
2015-05-27,14
2015-05-28,16
2015-05-29,15
2015-05-30,18
2015-05-31,19
2015-06-01,14
2015-06-02,16
2015-06-03,15
2015-06-04,16
2015-06-05,15
2015-06-06,19
2015-06-07,18
2015-06-08,13
2015-06-09,13
2015-06-10,14
2015-06-11,14
2015-06-12,14
2015-06-13,16
2015-06-14,18
2015-06-15,15
2015-06-16,15
2015-06-17,15
2015-06-18,14
2015-06-19,16
2015-06-20,17
2015-06-21,18
2015-06-22,16
2015-06-23,14
2015-06-24,15
2015-06-25,18
2015-06-26,15
2015-06-27,19
2015-06-28,18
2015-06-29,16
2015-06-30,16
2015-07-01,15
2015-07-02,14
2015-07-03,16
2015-07-04,18
2015-07-05,18
2015-07-06,17
2015-07-07,17
2015-07-08,18
2015-07-09,18
2015-07-10,18
2015-07-11,18
2015-07-12,17
2015-07-13,15
2015-07-14,15
2015-07-15,16
2015-07-16,15
2015-07-17,13
2015-07-18,17
2015-07-19,17
2015-07-20,14
2015-07-21,15
2015-07-22,15
2015-07-23,14
2015-07-24,16
2015-07-25,18
2015-07-26,17
2015-07-27,14
2015-07-28,13
2015-07-29,13
2015-07-30,12
2015-07-31,16
2015-08-01,18
2015-08-02,18
2015-08-03,15
2015-08-04,16
2015-08-05,13
2015-08-06,16
2015-08-07,17
2015-08-08,18
2015-08-09,18
2015-08-10,14
2015-08-11,14
2015-08-12,14
2015-08-13,14
2015-08-14,15
2015-08-15,16
2015-08-16,19
2015-08-17,15
2015-08-18,16
2015-08-19,16
2015-08-20,17
2015-08-21,19
2015-08-22,21
2015-08-23,18
2015-08-24,18
2015-08-25,16
2015-08-26,16
2015-08-27,16
2015-08-28,15
2015-08-30,17
2015-08-31,15
2015-09-01,17
2015-09-02,13
2015-09-03,14
2015-09-04,16
2015-09-05,18
2015-09-06,18
2015-09-07,11
2015-09-08,11
2015-09-09,11
2015-09-10,9
2015-09-11,12
2015-09-12,14
2015-09-13,17
2015-09-14,12
2015-09-15,12
2015-09-16,12
2015-09-17,12
2015-09-18,12
2015-09-19,17
2015-09-20,16
2015-09-21,10
2015-09-22,11
2015-09-23,10
2015-09-24,12
2015-09-25,14
2015-09-26,14
2015-09-27,17
2015-09-28,15
2015-09-29,13
2015-09-30,15
2015-10-01,17
2015-10-02,15
2015-10-03,17
2015-10-04,17
2015-10-05,14
2015-10-06,14
2015-10-07,14
2015-10-08,14
2015-10-09,14
2015-10-10,20
2015-10-11,17
2015-10-12,14
2015-10-13,12
2015-10-14,11
2015-10-15,14
2015-10-16,15
2015-10-17,14
2015-10-18,18
2015-10-19,15
2015-10-20,12
2015-10-21,15
2015-10-22,15
2015-10-23,15
2015-10-24,18
2015-10-25,17
2015-10-26,15
2015-10-27,14
2015-10-28,15
2015-10-29,14
2015-10-30,15
2015-10-31,14
2015-11-01,23
2015-11-02,19
2015-11-03,17
2015-11-04,19
2015-11-05,23
2015-11-06,40
2015-11-07,43
2015-11-08,28
2015-11-09,20
2015-11-10,18
2015-11-11,23
2015-11-12,20
2015-11-13,18
2015-11-14,20
2015-11-15,33
2015-11-16,24
2015-11-17,24
2015-11-18,24
2015-11-19,29
2015-11-20,47
2015-11-21,74
2015-11-22,41
2015-11-23,24
2015-11-24,25
2015-11-25,23
2015-11-26,22
2015-11-27,30
2015-11-28,38
2015-11-29,30
2015-11-30,19
2015-12-01,21
2015-12-02,18
2015-12-03,17
2015-12-04,19
2015-12-05,31
2015-12-06,32
2015-12-07,24
2015-12-08,24
2015-12-09,23
2015-12-10,22
2015-12-11,22
2015-12-12,31
2015-12-13,28
2015-12-14,22
2015-12-15,24
2015-12-16,22
2015-12-17,22
2015-12-18,22
2015-12-19,26
2015-12-20,26
2015-12-21,23
2015-12-22,23
2015-12-23,22
2015-12-24,26
2015-12-25,22
2015-12-26,25
2015-12-27,27
2015-12-28,26
2015-12-29,27
2015-12-30,25
2015-12-31,25
2016-01-01,27
2016-01-02,31
2016-01-03,26
2016-01-04,21
2016-01-05,24
2016-01-06,22
2016-01-07,22
2016-01-08,23
2016-01-09,30
2016-01-10,25
2016-01-11,19
2016-01-12,20
2016-01-13,20
2016-01-14,19
2016-01-15,20
2016-01-16,23
2016-01-17,26
2016-01-18,18
2016-01-19,23
2016-01-20,23
2016-01-21,21
2016-01-22,23
2016-01-23,27
2016-01-24,31
2016-01-25,22
2016-01-26,25
2016-01-27,25
2016-01-28,27
2016-01-29,30
2016-01-30,31
2016-01-31,42
2016-02-01,35
2016-02-02,31
2016-02-03,70
2016-02-04,51
2016-02-05,53
2016-02-06,55
2016-02-07,51
2016-02-08,38
2016-02-09,37
2016-02-10,36
2016-02-11,37
2016-02-12,44
2016-02-13,51
2016-02-14,56
2016-02-15,46
2016-02-16,40
2016-02-17,40
2016-02-18,41
2016-02-19,41
2016-02-20,50
2016-02-21,58
2016-02-22,41
2016-02-23,35
2016-02-24,34
2016-02-25,35
2016-02-27,29
2016-02-28,61
2016-02-29,38
2016-03-01,36
2016-03-02,35
2016-03-03,39
2016-03-04,36
2016-03-05,46
2016-03-06,75
2016-03-07,51
2016-03-08,43
2016-03-09,40
2016-03-10,38
2016-03-11,39
2016-03-12,54
2016-03-13,69
2016-03-14,42
2016-03-15,34
2016-03-16,31
2016-03-17,28
2016-03-18,29
2016-03-19,37
2016-03-20,57
2016-03-21,57
2016-03-22,47
2016-03-23,44
2016-03-24,46
2016-03-25,49
2016-03-26,53
2016-03-27,54
2016-03-28,47
2016-03-29,45
2016-03-30,41
2016-03-31,41
2016-04-01,44
2016-04-02,45
2016-04-03,53
2016-04-04,42
2016-04-05,47
2016-04-06,42
2016-04-07,40
2016-04-08,46
2016-04-09,49
2016-04-10,52
2016-04-11,44
2016-04-12,43
2016-04-13,40
2016-04-14,40
2016-04-15,44
2016-04-16,48
2016-04-17,53
2016-04-18,43
2016-04-19,40
2016-04-20,42
2016-04-21,41
2016-04-22,44
2016-04-23,53
2016-04-24,73
2016-04-25,67
2016-04-26,58
2016-04-27,57
2016-04-28,65
2016-04-29,63
2016-04-30,83
